instance_id,status,wall_time_s,rc,construction,seed
vb_oval21_0000,TIMEOUT,360.033383,124,vnncomp.oval21,
vb_oval21_0001,TIMEOUT,360.036616,124,vnncomp.oval21,
vb_oval21_0002,UNSAT,102.306617,0,vnncomp.oval21,
vb_oval21_0003,TIMEOUT,360.036462,124,vnncomp.oval21,
vb_oval21_0004,UNSAT,40.669637,0,vnncomp.oval21,
vb_oval21_0005,TIMEOUT,359.989823,124,vnncomp.oval21,
vb_oval21_0006,TIMEOUT,360.042523,124,vnncomp.oval21,
vb_oval21_0007,UNSAT,65.215987,0,vnncomp.oval21,
vb_oval21_0008,TIMEOUT,360.030972,124,vnncomp.oval21,
vb_oval21_0009,TIMEOUT,360.035825,124,vnncomp.oval21,
vb_oval21_0010,TIMEOUT,360.046470,124,vnncomp.oval21,
vb_oval21_0011,TIMEOUT,360.046520,124,vnncomp.oval21,
vb_oval21_0012,TIMEOUT,360.054699,124,vnncomp.oval21,
vb_oval21_0013,TIMEOUT,360.038515,124,vnncomp.oval21,
vb_oval21_0014,TIMEOUT,360.044252,124,vnncomp.oval21,
vb_oval21_0015,TIMEOUT,360.044264,124,vnncomp.oval21,
vb_oval21_0016,TIMEOUT,360.031270,124,vnncomp.oval21,
vb_oval21_0017,TIMEOUT,360.035125,124,vnncomp.oval21,
vb_oval21_0018,UNSAT,6.655099,0,vnncomp.oval21,
vb_oval21_0019,TIMEOUT,360.025460,124,vnncomp.oval21,
vb_oval21_0020,TIMEOUT,360.028166,124,vnncomp.oval21,
vb_oval21_0021,TIMEOUT,360.030465,124,vnncomp.oval21,
vb_oval21_0022,TIMEOUT,360.028578,124,vnncomp.oval21,
vb_oval21_0023,UNSAT,314.600305,0,vnncomp.oval21,
vb_oval21_0024,TIMEOUT,360.033544,124,vnncomp.oval21,
vb_oval21_0025,UNSAT,26.119160,0,vnncomp.oval21,
vb_oval21_0026,TIMEOUT,360.025770,124,vnncomp.oval21,
vb_oval21_0027,UNSAT,33.180220,0,vnncomp.oval21,
vb_oval21_0028,UNSAT,8.100563,0,vnncomp.oval21,
vb_oval21_0029,TIMEOUT,360.024452,124,vnncomp.oval21,
