instance_id,status,wall_time_s,rc,construction,seed
vb_oval21_0000,TIMEOUT,360.017961,124,vnncomp.oval21,
vb_oval21_0001,TIMEOUT,360.022639,124,vnncomp.oval21,
vb_oval21_0002,TIMEOUT,360.027289,124,vnncomp.oval21,
vb_oval21_0003,TIMEOUT,360.014821,124,vnncomp.oval21,
vb_oval21_0004,TIMEOUT,360.031214,124,vnncomp.oval21,
vb_oval21_0005,TIMEOUT,360.024307,124,vnncomp.oval21,
vb_oval21_0006,TIMEOUT,360.048760,124,vnncomp.oval21,
vb_oval21_0007,TIMEOUT,360.027179,124,vnncomp.oval21,
vb_oval21_0008,TIMEOUT,360.019510,124,vnncomp.oval21,
vb_oval21_0009,TIMEOUT,360.022129,124,vnncomp.oval21,
vb_oval21_0010,TIMEOUT,360.015771,124,vnncomp.oval21,
vb_oval21_0011,TIMEOUT,360.044361,124,vnncomp.oval21,
vb_oval21_0012,TIMEOUT,360.039158,124,vnncomp.oval21,
vb_oval21_0013,TIMEOUT,360.020888,124,vnncomp.oval21,
vb_oval21_0014,SAT,8.086176,0,vnncomp.oval21,
vb_oval21_0015,TIMEOUT,360.018853,124,vnncomp.oval21,
vb_oval21_0016,TIMEOUT,360.023168,124,vnncomp.oval21,
vb_oval21_0017,TIMEOUT,360.044293,124,vnncomp.oval21,
vb_oval21_0018,UNSAT,3.272156,0,vnncomp.oval21,
vb_oval21_0019,TIMEOUT,360.048430,124,vnncomp.oval21,
vb_oval21_0020,TIMEOUT,360.025716,124,vnncomp.oval21,
vb_oval21_0021,TIMEOUT,360.041736,124,vnncomp.oval21,
vb_oval21_0022,TIMEOUT,360.023417,124,vnncomp.oval21,
vb_oval21_0023,TIMEOUT,360.032349,124,vnncomp.oval21,
vb_oval21_0024,TIMEOUT,360.027265,124,vnncomp.oval21,
vb_oval21_0025,TIMEOUT,360.081348,124,vnncomp.oval21,
vb_oval21_0026,TIMEOUT,360.033663,124,vnncomp.oval21,
vb_oval21_0027,UNSAT,164.562580,0,vnncomp.oval21,
vb_oval21_0028,UNSAT,10.269559,0,vnncomp.oval21,
vb_oval21_0029,TIMEOUT,360.030001,124,vnncomp.oval21,
